chunk_id,doc_id,language,text
1,1,en,"Employee benefits include health insurance, paid leave, bonuses, and retirement plans provided by employers to improve job satisfaction."
2,2,en,"Labour laws regulate wages, working hours, workplace safety, and ensure fair treatment of employees."
3,3,en,Education policy focuses on improving access to quality education and enhancing learning outcomes for students.
4,4,en,Healthcare systems aim to provide affordable medical services and improve public health outcomes.
5,5,en,Government policies play a crucial role in economic growth and social welfare development.
6,6,en,Workplace safety regulations are designed to prevent injuries and ensure safe working conditions.
7,7,en,"Employment contracts define job roles, compensation, responsibilities, and termination conditions."
8,8,en,Social security systems provide financial support to individuals during unemployment or retirement.
9,9,en,Public administration is responsible for implementing government policies and delivering public services.
10,10,en,Skill development programs help individuals improve employability and professional growth.
11,11,hi,"कर्मचारी लाभ में स्वास्थ्य बीमा, सवेतन अवकाश, बोनस और सेवानिवृत्ति योजनाएँ शामिल होती हैं।"
12,12,hi,"श्रम कानून मजदूरों के वेतन, कार्य घंटे और कार्यस्थल की सुरक्षा को नियंत्रित करते हैं।"
13,13,hi,शिक्षा नीति का उद्देश्य गुणवत्तापूर्ण शिक्षा तक पहुंच में सुधार करना है।
14,14,hi,स्वास्थ्य सेवाओं का लक्ष्य किफायती चिकित्सा सुविधाएं प्रदान करना और जन स्वास्थ्य में सुधार करना है।
15,15,hi,सरकारी नीतियाँ आर्थिक विकास और सामाजिक कल्याण में महत्वपूर्ण भूमिका निभाती हैं।
16,16,hi,कार्यस्थल सुरक्षा नियम दुर्घटनाओं को रोकने और सुरक्षित वातावरण सुनिश्चित करने के लिए बनाए जाते हैं।
17,17,hi,"रोजगार अनुबंध नौकरी की भूमिका, वेतन और जिम्मेदारियों को परिभाषित करते हैं।"
18,18,hi,सामाजिक सुरक्षा प्रणाली बेरोजगारी और सेवानिवृत्ति के समय वित्तीय सहायता प्रदान करती है।
19,19,hi,लोक प्रशासन सरकारी नीतियों को लागू करने और सार्वजनिक सेवाएं प्रदान करने के लिए जिम्मेदार है।
20,20,hi,कौशल विकास कार्यक्रम रोजगार योग्यता और पेशेवर विकास में मदद करते हैं।
